id,lat,lon,street,city,state
146202,41.938446,-87.775473,5959 W Belmont Ave,CHICAGO,IL
352306,46.571185,-90.976641,28715 US Hwy 2,Ashland,WI
132195,33.50205,-111.943309,7055 EAST CAMELBACK ROAD,SCOTTSDALE,AZ
137592,37.253238,-121.798161,5546 Monterey Rd.,San Jose,CA
140725,40.822874,-73.900303,977 Prospect Avenue,Bronx,NY
375128,33.380348,-111.601469,1951 S Signal Butte Rd,Mesa,AZ
355807,30.228432,-90.920651,625 S BURNSIDE AVE,GONZALES,LA
128943,29.770178,-95.601046,14400 Memorial Dr,Houston,TX
355608,30.032263,-89.973721,9954 LAKE FOREST BLVD STE 1,NEW ORLEANS,LA
393320,29.986209,-81.69524,1517 Idlewild Ave,Green Cove Springs,
364161,47.654112,-122.679969,9551 Ridgetop Blvd Nw,Silverdale,WA
137607,36.801039,-119.596649,4707 QUAIL LAKE DR. #400,STOCKTON,CA
394340,29.867294,-81.340228,715 State Road 207,St Augustine,
176754,41.055577,-73.542763,21 Broad St,Stamford,CT
351971,43.18293,-87.961005,9090 N Green Bay Rd,Brown Deer,WI
162472,46.398741,-117.013232,1325 21st,Lewiston,ID
144607,42.105755,-88.247202,3002 Wakefield Drive,CARPENTERSVILLE,IL
353538,41.751809,-87.741459,7760 S Cicero Ave,Burbank,IL
397231,38.421433,-82.285183,2070 Thundering Herd Rd,Barboursville,WV
353442,41.520602,-87.64649,95B W JOE ORR RD,CHICAGO HEIGHTS,IL
145843,34.098112,-118.300121,5076 W. Sunset Blvd.,LOS ANGELES,CA
143182,41.752265,-72.721867,161 Oakwood Ave,West Hartford,CT
1008653,39.539701,-82.404299,297 E Main St,Logan,OH
345771,36.984571,-121.964879,2600 41st Avenue,Soquel,CA
357488,29.744515,-95.393616,1214 Westheimer,Houston,TX
149376,25.941239,-80.306988,18496 NW 67th Ave,Hialeah,FL
119261,38.299853,-85.542987,3706 Diann Marie Rd,Louisville,KY
107316,40.810833,-73.952753,350 W 125th St,New York,NY
109174,42.988988,-78.822527,1255 Niagara Falls Blvd.,Amherst,NY
128540,32.204771,-98.236555,2765 W Washington St,Stephenville,TX
164980,35.206694,-89.840629,2955 Kirby-Whitten Pkwy,Bartlett,TN
374662,43.185428,-76.237138,3954 Route 31,Liverpool,NY
356865,32.849675,-96.682785,11255 Garland Rd,Dallas,TX
128134,31.952114,-95.263867,1329 S Jackson St,Jacksonville,TX
352080,42.941913,-89.38335,1015 N MAIN ST,OREGON,WI
342383,31.469979,-98.568225,1200 Highway 84,Goldthwaite,TX
156381,33.801161,-116.525698,1793 E. Palm Cyn Dr,Palm Springs,CA
132159,33.218086,-111.877152,9538 E Riggs Rd,Sun Lakes,AZ
354527,38.772929,-90.784083,6103 Ronald Reagan Dr,Lake St. Louis,MO
153130,37.753707,-122.488375,2301 NORIEGA ST,SAN FRANCISCO,CA
473525,32.956468,-117.036108,13630 POWAY RD,POWAY,CA
119731,40.073234,-83.139362,5900 Britton Pkwy,Dublin,OH
375579,41.694422,-71.1513,501 Rodman Street,Fall River,MA
121689,38.308808,-85.768063,425 Little League Blvd,Clarksville,IN
372044,45.530678,-122.961727,1991 Ne Cornell Rd, Ste 110,Hillsboro
112537,38.86733,-82.126053,2418 Jackson Avenue,Point Pleasant,WV
167922,29.740596,-95.465535,5150 Westheimer,Houston,TX
392906,42.039905,-87.843746,8730 WEST DEMPSTER,Niles,IL
111593,39.66269,-77.744949,18065 Garland Groh Blvd,Hagerstown,MD
